許可證字號,形狀,顏色
衛署藥輸字第025351號,橢圓形,紅
衛署藥輸字第025355號,膠囊,紅
衛署藥輸字第025356號,橢圓形,白
衛署藥輸字第025364號,橢圓形,白
衛署藥輸字第025378號,圓形,黃
衛署藥輸字第025391號,圓形,白
衛署藥輸字第025413號,圓形,橘;;;橘
衛署藥輸字第025417號,圓形,灰
衛署藥輸字第025419號,橢圓形,白
衛署藥輸字第025421號,橢圓形,黃
衛署藥輸字第025423號,膠囊,橘;;;棕
衛署藥輸字第025427號,四邊形,黃
衛署藥輸字第025431號,圓形,黃
衛署藥輸字第025433號,四邊形,粉
衛署藥輸字第025442號,三角形,棕
衛署藥輸字第025446號,橢圓形,白;;;藍
衛署藥輸字第025451號,橢圓形,黃
衛署藥輸字第025452號,橢圓形,黃
衛署藥輸字第025458號,膠囊,藍;;;白
衛署藥輸字第025459號,膠囊,藍;;;藍
衛署藥輸字第025465號,橢圓形,白
衛署藥輸字第025466號,圓形,白
衛署藥輸字第025467號,圓形,橘
衛署藥輸字第025480號,橢圓形,黃
衛署藥輸字第025481號,橢圓形,黃
衛署藥輸字第025492號,圓形,橘
衛署藥輸字第025494號,圓形,黃
